hida_5705;count;https://normdaten.staatsbibliothek-berlin.de/vocabulary/musicNotation/;https://normdaten.staatsbibliothek-berlin.de/vocabulary/musicStaff/;https://normdaten.staatsbibliothek-berlin.de/vocabulary/musicColour/;exists
Über jeder Textzeile ein Notensystem aus vier roten Notenlinien mit c-Schlüssel und Quadratnotation.;1;Quadratnotation;Vierliniensystem;Rot;Notation vorhanden
Über jeder Textzeile ein Notensystem aus vier roten Notenlinien, deren Seitenränder zugleich als Begrenzung des Schriftspiegels dienen, c- und f-Schlüssel. Quadratische Mensuralnotation.;1;Mensuralnotation;Vierliniensystem;Rot;Notation vorhanden
Über jeder Textzeile ein Notensystem aus vier roten Notenlinien, deren Seitenränder zugleich als Begrenzung des Schriftspiegels dienen, c- und f-Schlüssel. Quadratnotation.;1;Quadratnotation;Vierliniensystem;Rot;Notation vorhanden
Über jeder Textzeile ein Notensystem aus vier roten Notenlinien, deren Seitenränder zugleich als Begrenzung des Schriftspiegels dienen, c-Schlüssel. Hufnagelnotation.;1;Quadratnotation;Vierliniensystem;Rot;Notation vorhanden
Über jeder Textzeile ein vierlinige Notensysteme, f-Linie rot, mit c- und f-Schlüssel, mit einer Mischform aus Metzer und gotischer Choralnotation.;2;Neumennotation auf Linien;Vierliniensystem;Rot;Notation vorhanden
Über jeder Textzeile ein vierliniges Notensystem, f-Linie rot, c- und f-Schlüssel, mit gotischer Choralnotation.;1;deutsche Neumen auf Linien;Vierliniensystem;Rot;Notation vorhanden
Über jeder Textzeile ein vierliniges Notensystem, f-Linie rot, c-Linie gelb, c- und f-Schlüssel, mit gotischer Choralnotation, an vielen Stellen radiert und von späterer Hand korrigiert.;1;deutsche Neumen auf Linien;Vierliniensystem;"Rot; Gelb";Notation vorhanden
Über jeder Zeile des ursprünglichen Textes ein Notensystem aus fünf Linien mit c- und f-Schlüssel, f-Linie rot, mit frühgotischen deutschen Neumen. Die auf Papier nachgetragenen Offizien (1r–2v9r–10v) bzw. Sequenzen und Alleluiaverse (142r–179v) sind mit gotischer Choralnotation auf vier Linien mit c- und f-Schlüssel versehen.;1;deutsche Neumen auf Linien;Fünfliniensystem;Rot;Notation vorhanden
Über jeder Zeile ein Notensystem aus fünf Linien, c- und f-Schlüssel, mit gotischer Choralnotation.;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Über jeder Zeile ein Notensystem aus vier Linien, c- und f-Schlüssel, mit gotischer Choralnotation.;1;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
unliniert;58;;;;Notation vorhanden
vorhanden;28;;;;Notation vorhanden
