"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(8"$"Codex germanicus monacensis  5968(8"$"Cod.germ.mon. 5968(8"$"Cod. germ. monac. 5968(8"$"Cgm 5968-8"$"Cgm 5968, 8"$"Cgm 5968/8"$"Cgm 5968(VIII"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(9"$"Codex germanicus monacensis  5968(9"$"Cod.germ.mon. 5968(9"$"Cod. germ. monac. 5968(9"$"Cgm 5968-9"$"Cgm 5968, 9"$"Cgm 5968/9"$"Cgm 5968(IX"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5969(1"$"Codex germanicus monacensis  5969(1"$"Cod.germ.mon. 5969(1"$"Cod. germ. monac. 5969(1"$"Cgm 5969-1"$"Cgm 5969, 1"$"Cgm 5969/1"$"Cgm 5969(I"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5969(2"$"Codex germanicus monacensis  5969(2"$"Cod.germ.mon. 5969(2"$"Cod. germ. monac. 5969(2"$"Cgm 5969-2"$"Cgm 5969, 2"$"Cgm 5969/2"$"Cgm 5969(II"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5969(3"$"Codex germanicus monacensis  5969(3"$"Cod.germ.mon. 5969(3"$"Cod. germ. monac. 5969(3"$"Cgm 5969-3"$"Cgm 5969, 3"$"Cgm 5969/3"$"Cgm 5969(III"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5969(4"$"Codex germanicus monacensis  5969(4"$"Cod.germ.mon. 5969(4"$"Cod. germ. monac. 5969(4"$"Cgm 5969-4"$"Cgm 5969, 4"$"Cgm 5969/4"$"Cgm 5969(IV"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5969(5"$"Codex germanicus monacensis  5969(5"$"Cod.germ.mon. 5969(5"$"Cod. germ. monac. 5969(5"$"Cgm 5969-5"$"Cgm 5969, 5"$"Cgm 5969/5"$"Cgm 5969(V"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5969(6"$"Codex germanicus monacensis  5969(6"$"Cod.germ.mon. 5969(6"$"Cod. germ. monac. 5969(6"$"Cgm 5969-6"$"Cgm 5969, 6"$"Cgm 5969/6"$"Cgm 5969(VI"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5969(7"$"Codex germanicus monacensis  5969(7"$"Cod.germ.mon. 5969(7"$"Cod. germ. monac. 5969(7"$"Cgm 5969-7"$"Cgm 5969, 7"$"Cgm 5969/7"$"Cgm 5969(VII"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5969(8"$"Codex germanicus monacensis  5969(8"$"Cod.germ.mon. 5969(8"$"Cod. germ. monac. 5969(8"$"Cgm 5969-8"$"Cgm 5969, 8"$"Cgm 5969/8"$"Cgm 5969(VIII"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5969(9"$"Codex germanicus monacensis  5969(9"$"Cod.germ.mon. 5969(9"$"Cod. germ. monac. 5969(9"$"Cgm 5969-9"$"Cgm 5969, 9"$"Cgm 5969/9"$"Cgm 5969(IX"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 597"$"Codex germanicus monacensis  597"$"Cod.germ.mon. 597"$"Cod. germ. monac. 597"$"cgm 597"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5970 a(1"$"Codex germanicus monacensis  5970 a(1"$"Cod.germ.mon. 5970 a(1"$"Cod. germ. monac. 5970 a(1"$"Cgm 5970(A-1"$"Cgm 5970a, 1"$"Cgm 5970 a/1"$"Cgm 5970 a(I"
